change_id,table_name,record_id,change_type,field_changed,old_value,new_value,changed_by,changed_at
CHG0000033,article_master,ART00033,create,,,,mpatel,2022-07-24
CHG0000034,article_master,ART00034,create,,,,mpatel,2022-11-20
CHG0000035,article_master,ART00035,create,,,,rkhan,2022-08-01
CHG0000036,article_master,ART00036,create,,,,mpatel,2026-01-09
CHG0000037,article_master,ART00037,create,,,,jchen,2025-07-23
CHG0000038,article_master,ART00038,create,,,,swilson,2022-09-25
CHG0000039,article_master,ART00039,create,,,,swilson,2025-11-16
CHG0000040,article_master,ART00040,create,,,,swilson,2022-03-23
CHG0000041,article_master,ART00041,create,,,,mpatel,2026-05-17
CHG0000042,article_master,ART00042,create,,,,rkhan,2022-11-13
CHG0000043,article_master,ART00043,create,,,,jchen,2022-02-20
CHG0000044,article_master,ART00044,create,,,,swilson,2025-12-07
CHG0000045,article_master,ART00045,create,,,,jchen,2023-04-12
CHG0000046,article_master,ART00046,create,,,,swilson,2022-05-23
CHG0000047,article_master,ART00047,create,,,,swilson,2025-01-03
CHG0000048,article_master,ART00048,create,,,,jchen,2025-05-06
CHG0000049,article_master,ART00049,create,,,,rkhan,2025-12-22
CHG0000050,article_master,ART00050,create,,,,rkhan,2023-10-05
CHG0000051,article_master,ART00051,create,,,,rkhan,2025-02-09
CHG0000052,article_master,ART00052,create,,,,rkhan,2023-09-15
CHG0000053,article_master,ART00053,create,,,,jchen,2026-02-16
CHG0000054,article_master,ART00054,create,,,,jchen,2023-02-12
CHG0000055,article_master,ART00055,create,,,,jchen,2024-07-21
CHG0000056,article_master,ART00056,create,,,,swilson,2024-03-29
CHG0000057,article_master,ART00057,create,,,,jchen,2022-08-07
CHG0000058,article_master,ART00058,create,,,,mpatel,2024-07-23
CHG0000059,article_master,ART00059,create,,,,mpatel,2024-08-30
CHG0000060,article_master,ART00060,create,,,,rkhan,2024-12-03
CHG0000061,article_master,ART00061,create,,,,swilson,2023-07-11
CHG0000062,article_master,ART00062,create,,,,mpatel,2024-04-29
CHG0000063,article_master,ART00063,create,,,,mpatel,2025-11-25
CHG0000064,article_master,ART00064,create,,,,mpatel,2024-05-08
CHG0000065,article_master,ART00065,create,,,,rkhan,2024-04-08
CHG0000066,article_master,ART00066,create,,,,mpatel,2024-05-27
CHG0000067,article_master,ART00067,create,,,,swilson,2024-02-16
CHG0000068,article_master,ART00068,create,,,,swilson,2023-12-18
CHG0000069,article_master,ART00069,create,,,,swilson,2022-09-16
CHG0000070,article_master,ART00070,create,,,,rkhan,2025-12-03
CHG0000071,article_master,ART00071,create,,,,jchen,2026-03-12
CHG0000072,article_master,ART00072,create,,,,mpatel,2022-08-10
CHG0000073,article_master,ART00073,create,,,,mpatel,2023-02-11
CHG0000074,article_master,ART00074,create,,,,rkhan,2025-03-05
CHG0000075,article_master,ART00075,create,,,,mpatel,2022-01-26
CHG0000076,article_master,ART00076,create,,,,jchen,2022-12-27
CHG0000077,article_master,ART00077,create,,,,jchen,2025-04-28
CHG0000078,article_master,ART00078,create,,,,swilson,2025-06-03
CHG0000079,article_master,ART00079,create,,,,rkhan,2023-01-08
CHG0000080,article_master,ART00080,create,,,,jchen,2025-12-07
CHG0000081,article_master,ART00081,create,,,,rkhan,2023-05-08
CHG0000082,article_master,ART00082,create,,,,mpatel,2025-09-21
CHG0000083,article_master,ART00083,create,,,,mpatel,2024-07-18
CHG0000084,article_master,ART00084,create,,,,mpatel,2023-10-09
CHG0000085,article_master,ART00085,create,,,,jchen,2023-01-28
CHG0000086,article_master,ART00086,create,,,,swilson,2023-02-02
CHG0000087,article_master,ART00087,create,,,,swilson,2022-04-04
CHG0000088,article_master,ART00088,create,,,,swilson,2022-07-30
CHG0000089,article_master,ART00089,create,,,,swilson,2024-09-05
CHG0000090,article_master,ART00090,create,,,,mpatel,2025-02-26
CHG0000091,article_master,ART00091,create,,,,rkhan,2025-06-20
CHG0000092,article_master,ART00092,create,,,,rkhan,2025-06-25
CHG0000093,article_master,ART00093,create,,,,rkhan,2022-12-22
CHG0000094,article_master,ART00094,create,,,,mpatel,2023-04-20
CHG0000095,article_master,ART00095,create,,,,rkhan,2023-02-10
CHG0000096,article_master,ART00096,create,,,,jchen,2023-09-22
CHG0000097,article_master,ART00097,create,,,,mpatel,2025-01-10
CHG0000098,article_master,ART00098,create,,,,mpatel,2025-10-12
CHG0000099,article_master,ART00099,create,,,,swilson,2025-04-13
CHG0000100,article_master,ART00100,create,,,,rkhan,2024-04-23
CHG0000101,article_master,ART00101,create,,,,swilson,2023-06-01
CHG0000102,article_master,ART00102,create,,,,jchen,2024-04-26
CHG0000103,article_master,ART00103,create,,,,mpatel,2023-08-13
CHG0000104,article_master,ART00104,create,,,,jchen,2024-04-15
CHG0000105,article_master,ART00105,create,,,,rkhan,2023-07-14
CHG0000106,article_master,ART00106,create,,,,jchen,2022-10-07
CHG0000107,article_master,ART00107,create,,,,swilson,2025-04-17
CHG0000108,article_master,ART00108,create,,,,jchen,2023-10-22
CHG0000109,article_master,ART00109,create,,,,rkhan,2024-02-20
CHG0000110,article_master,ART00110,create,,,,rkhan,2024-06-20
CHG0000111,article_master,ART00111,create,,,,rkhan,2026-05-20
CHG0000112,article_master,ART00112,create,,,,rkhan,2025-07-07
CHG0000113,article_master,ART00113,create,,,,mpatel,2022-07-05
CHG0000114,article_master,ART00114,create,,,,jchen,2022-04-25
CHG0000115,article_master,ART00115,create,,,,jchen,2022-06-11
CHG0000116,article_master,ART00116,create,,,,swilson,2025-09-27
CHG0000117,article_master,ART00117,create,,,,rkhan,2025-08-01
CHG0000118,article_master,ART00118,create,,,,swilson,2025-03-17
CHG0000119,article_master,ART00119,create,,,,rkhan,2026-03-06
CHG0000120,article_master,ART00120,create,,,,jchen,2023-08-10
CHG0000121,article_master,ART00121,create,,,,mpatel,2023-05-29
CHG0000122,article_master,ART00122,create,,,,mpatel,2023-09-25
CHG0000123,article_master,ART00123,create,,,,jchen,2023-02-16
CHG0000124,article_master,ART00124,create,,,,jchen,2023-08-28
CHG0000125,article_master,ART00125,create,,,,jchen,2025-10-13
CHG0000126,article_master,ART00126,create,,,,mpatel,2026-03-14
CHG0000127,article_master,ART00127,create,,,,swilson,2023-11-03
CHG0000128,article_master,ART00128,create,,,,jchen,2022-03-18
CHG0000129,article_master,ART00129,create,,,,swilson,2025-11-27
CHG0000130,article_master,ART00130,create,,,,swilson,2023-07-27
CHG0000131,article_master,ART00131,create,,,,jchen,2025-11-05
CHG0000132,article_master,ART00132,create,,,,rkhan,2024-03-26
CHG0000133,article_master,ART00133,create,,,,swilson,2024-07-20
CHG0000134,article_master,ART00134,create,,,,rkhan,2022-04-14
CHG0000135,article_master,ART00135,create,,,,mpatel,2023-04-23
CHG0000136,article_master,ART00136,create,,,,rkhan,2022-12-24
CHG0000137,article_master,ART00137,create,,,,mpatel,2023-05-03
CHG0000138,article_master,ART00138,create,,,,swilson,2022-05-11
CHG0000139,article_master,ART00139,create,,,,mpatel,2026-05-24
CHG0000140,article_master,ART00140,create,,,,mpatel,2022-08-10
CHG0000141,article_master,ART00141,create,,,,mpatel,2025-07-20
CHG0000142,article_master,ART00142,create,,,,rkhan,2025-12-08
CHG0000143,article_master,ART00143,create,,,,jchen,2026-01-16
CHG0000144,article_master,ART00144,create,,,,mpatel,2024-07-17
CHG0000145,article_master,ART00145,create,,,,rkhan,2025-09-24
CHG0000146,article_master,ART00146,create,,,,rkhan,2026-03-05
CHG0000147,article_master,ART00147,create,,,,rkhan,2025-09-24
CHG0000148,article_master,ART00148,create,,,,rkhan,2025-09-06
CHG0000149,article_master,ART00149,create,,,,swilson,2025-02-22
CHG0000150,article_master,ART00150,create,,,,swilson,2023-12-20
CHG0000151,article_master,ART00151,create,,,,mpatel,2023-03-17
CHG0000152,article_master,ART00152,create,,,,jchen,2022-06-23
CHG0000153,article_master,ART00153,create,,,,jchen,2024-06-24
CHG0000154,article_master,ART00154,create,,,,rkhan,2024-12-15
CHG0000155,article_master,ART00155,create,,,,mpatel,2023-09-10
CHG0000156,article_master,ART00156,create,,,,jchen,2024-10-15
CHG0000157,article_master,ART00157,create,,,,jchen,2026-02-28
CHG0000158,article_master,ART00158,create,,,,rkhan,2025-08-04
CHG0000159,article_master,ART00159,create,,,,swilson,2024-01-12
CHG0000160,article_master,ART00160,create,,,,jchen,2023-11-27
CHG0000161,article_master,ART00161,create,,,,swilson,2026-01-29
CHG0000162,article_master,ART00162,create,,,,swilson,2026-05-02
CHG0000163,article_master,ART00163,create,,,,rkhan,2025-08-09
CHG0000164,article_master,ART00164,create,,,,mpatel,2023-07-17
CHG0000165,article_master,ART00165,create,,,,rkhan,2022-03-19
CHG0000166,article_master,ART00166,create,,,,swilson,2022-07-04
CHG0000167,article_master,ART00167,create,,,,swilson,2026-02-22
CHG0000168,article_master,ART00168,create,,,,mpatel,2023-12-05
CHG0000169,article_master,ART00169,create,,,,jchen,2025-06-02
CHG0000170,article_master,ART00170,create,,,,jchen,2025-07-16
CHG0000171,article_master,ART00171,create,,,,swilson,2025-05-19
CHG0000172,article_master,ART00172,create,,,,swilson,2022-09-22
CHG0000173,article_master,ART00173,create,,,,rkhan,2025-12-10
CHG0000174,article_master,ART00174,create,,,,rkhan,2023-03-15
CHG0000175,article_master,ART00175,create,,,,jchen,2026-04-28
CHG0000176,article_master,ART00176,create,,,,jchen,2022-12-06
CHG0000177,article_master,ART00177,create,,,,mpatel,2026-03-21
CHG0000178,article_master,ART00178,create,,,,jchen,2025-03-14
CHG0000179,article_master,ART00179,create,,,,mpatel,2025-05-23
CHG0000180,article_master,ART00180,create,,,,rkhan,2022-09-13
CHG0000181,article_master,ART00181,create,,,,swilson,2024-11-17
CHG0000182,article_master,ART00182,create,,,,rkhan,2023-12-17
CHG0000183,article_master,ART00183,create,,,,jchen,2022-07-22
CHG0000184,article_master,ART00184,create,,,,swilson,2024-08-18
CHG0000185,article_master,ART00185,create,,,,rkhan,2025-05-31
CHG0000186,article_master,ART00186,create,,,,rkhan,2025-06-29
CHG0000187,article_master,ART00187,create,,,,mpatel,2023-05-11
CHG0000188,article_master,ART00188,create,,,,swilson,2025-03-14
CHG0000189,article_master,ART00189,create,,,,swilson,2025-02-08
CHG0000190,article_master,ART00190,create,,,,mpatel,2023-12-08
CHG0000191,article_master,ART00191,create,,,,swilson,2024-08-09
CHG0000192,article_master,ART00192,create,,,,mpatel,2024-11-21
CHG0000193,article_master,ART00193,create,,,,mpatel,2023-11-11
CHG0000194,article_master,ART00194,create,,,,jchen,2023-01-18
CHG0000195,article_master,ART00195,create,,,,swilson,2025-05-18
CHG0000196,article_master,ART00196,create,,,,swilson,2024-05-22
CHG0000197,article_master,ART00197,create,,,,swilson,2022-06-03
CHG0000198,article_master,ART00198,create,,,,mpatel,2022-09-16
CHG0000199,article_master,ART00199,create,,,,jchen,2024-06-28
CHG0000200,article_master,ART00200,create,,,,mpatel,2026-02-15
CHG0000201,article_master,ART00201,create,,,,swilson,2025-06-07
CHG0000202,article_master,ART00202,create,,,,rkhan,2025-10-28
CHG0000203,article_master,ART00203,create,,,,jchen,2025-12-05
CHG0000204,article_master,ART00204,create,,,,rkhan,2025-03-18
CHG0000205,article_master,ART00205,create,,,,mpatel,2024-12-12
CHG0000206,article_master,ART00206,create,,,,jchen,2022-09-20
CHG0000207,article_master,ART00207,create,,,,jchen,2022-09-12
CHG0000208,article_master,ART00208,create,,,,jchen,2024-11-28
CHG0000209,article_master,ART00209,create,,,,swilson,2025-02-02
CHG0000210,article_master,ART00210,create,,,,jchen,2025-09-11
CHG0000211,article_master,ART00211,create,,,,jchen,2023-06-27
CHG0000212,article_master,ART00212,create,,,,swilson,2023-09-11
CHG0000213,article_master,ART00213,create,,,,jchen,2024-07-17
CHG0000214,article_master,ART00214,create,,,,swilson,2024-08-09
CHG0000215,article_master,ART00215,create,,,,jchen,2023-10-16
CHG0000216,article_master,ART00216,create,,,,swilson,2023-07-02
CHG0000217,article_master,ART00217,create,,,,jchen,2023-11-02
CHG0000218,article_master,ART00218,create,,,,swilson,2024-10-15
CHG0000219,article_master,ART00219,create,,,,jchen,2022-04-14
CHG0000220,article_master,ART00220,create,,,,swilson,2024-01-20
CHG0000221,article_master,ART00221,create,,,,jchen,2024-03-02
CHG0000222,article_master,ART00222,create,,,,jchen,2024-03-17
CHG0000223,article_master,ART00223,create,,,,mpatel,2022-04-03
CHG0000224,article_master,ART00224,create,,,,swilson,2024-07-24
CHG0000225,article_master,ART00225,create,,,,rkhan,2025-06-09
CHG0000226,article_master,ART00226,create,,,,swilson,2024-09-30
CHG0000227,article_master,ART00227,create,,,,mpatel,2023-09-23
CHG0000228,article_master,ART00228,create,,,,rkhan,2026-01-16
CHG0000229,article_master,ART00229,create,,,,mpatel,2023-05-12
CHG0000230,article_master,ART00230,create,,,,rkhan,2024-06-22
CHG0000231,article_master,ART00231,create,,,,swilson,2024-10-24
CHG0000232,article_master,ART00232,create,,,,jchen,2024-02-11
CHG0000233,article_master,ART00233,create,,,,mpatel,2025-11-20
CHG0000234,article_master,ART00234,create,,,,mpatel,2023-09-02
CHG0000235,article_master,ART00235,create,,,,rkhan,2022-09-07
CHG0000236,article_master,ART00236,create,,,,swilson,2023-08-18
CHG0000237,article_master,ART00237,create,,,,rkhan,2025-01-08
CHG0000238,article_master,ART00238,create,,,,mpatel,2025-06-14
CHG0000239,article_master,ART00239,create,,,,swilson,2024-12-23
CHG0000240,article_master,ART00240,create,,,,swilson,2024-04-13
CHG0000241,article_master,ART00241,create,,,,mpatel,2025-08-28
CHG0000242,article_master,ART00242,create,,,,mpatel,2022-03-16
CHG0000243,article_master,ART00243,create,,,,swilson,2023-11-18
CHG0000244,article_master,ART00244,create,,,,swilson,2022-10-02
CHG0000245,article_master,ART00245,create,,,,mpatel,2025-08-20
CHG0000246,article_master,ART00246,create,,,,rkhan,2025-08-01
CHG0000247,article_master,ART00247,create,,,,jchen,2023-05-24
CHG0000248,article_master,ART00248,create,,,,swilson,2023-09-11
CHG0000249,article_master,ART00249,create,,,,mpatel,2023-09-21
CHG0000250,article_master,ART00250,create,,,,swilson,2022-11-10
CHG0000251,article_master,ART00251,create,,,,jchen,2026-04-10
CHG0000252,article_master,ART00252,create,,,,jchen,2024-11-01
CHG0000253,article_master,ART00253,create,,,,rkhan,2022-07-06
CHG0000254,article_master,ART00254,create,,,,swilson,2023-09-24
CHG0000255,article_master,ART00255,create,,,,swilson,2024-05-17
CHG0000256,article_master,ART00256,create,,,,mpatel,2026-02-02
CHG0000257,article_master,ART00257,create,,,,swilson,2022-09-30
CHG0000258,article_master,ART00258,create,,,,mpatel,2022-01-08
CHG0000259,article_master,ART00259,create,,,,rkhan,2023-04-16
CHG0000260,article_master,ART00260,create,,,,swilson,2024-05-08
CHG0000261,article_master,ART00261,create,,,,mpatel,2025-12-11
CHG0000262,article_master,ART00262,create,,,,rkhan,2023-08-16
CHG0000263,article_master,ART00263,create,,,,rkhan,2023-03-29
CHG0000264,article_master,ART00264,create,,,,mpatel,2022-04-07
CHG0000265,article_master,ART00265,create,,,,jchen,2023-05-09
CHG0000266,article_master,ART00266,create,,,,jchen,2022-10-02
CHG0000267,article_master,ART00267,create,,,,jchen,2024-01-30
CHG0000268,article_master,ART00268,create,,,,mpatel,2024-02-12
CHG0000269,article_master,ART00269,create,,,,mpatel,2023-03-21
CHG0000270,article_master,ART00270,create,,,,swilson,2026-02-27
CHG0000271,article_master,ART00271,create,,,,rkhan,2025-11-25
CHG0000272,article_master,ART00272,create,,,,rkhan,2024-01-07
CHG0000273,article_master,ART00273,create,,,,jchen,2022-04-04
CHG0000274,article_master,ART00274,create,,,,swilson,2023-11-07
CHG0000275,article_master,ART00275,create,,,,mpatel,2026-02-23
CHG0000276,article_master,ART00276,create,,,,jchen,2025-01-15
CHG0000277,article_master,ART00277,create,,,,rkhan,2023-04-19
CHG0000278,article_master,ART00278,create,,,,jchen,2024-02-04
CHG0000279,article_master,ART00279,create,,,,mpatel,2024-09-16
CHG0000280,article_master,ART00280,create,,,,jchen,2024-12-20
CHG0000281,article_master,ART00281,create,,,,rkhan,2024-12-09
CHG0000282,article_master,ART00282,create,,,,jchen,2024-07-29
CHG0000283,article_master,ART00283,create,,,,rkhan,2024-02-12
CHG0000284,article_master,ART00284,create,,,,mpatel,2025-03-04
CHG0000285,article_master,ART00285,create,,,,swilson,2023-07-10
CHG0000286,article_master,ART00286,create,,,,jchen,2022-02-02
CHG0000287,article_master,ART00287,create,,,,swilson,2025-02-28
CHG0000288,article_master,ART00288,create,,,,jchen,2026-01-23
CHG0000289,article_master,ART00289,create,,,,jchen,2024-06-14
CHG0000290,article_master,ART00290,create,,,,rkhan,2025-05-04
CHG0000291,article_master,ART00291,create,,,,swilson,2026-05-24
CHG0000292,article_master,ART00292,create,,,,mpatel,2026-05-01
CHG0000293,article_master,ART00293,create,,,,mpatel,2026-02-23
CHG0000294,article_master,ART00294,create,,,,jchen,2022-06-28
CHG0000295,article_master,ART00295,create,,,,rkhan,2025-05-07
CHG0000296,article_master,ART00296,create,,,,jchen,2023-05-13
CHG0000297,article_master,ART00297,create,,,,mpatel,2024-05-12
CHG0000298,article_master,ART00298,create,,,,swilson,2022-08-08
CHG0000299,article_master,ART00299,create,,,,mpatel,2023-11-17
CHG0000300,article_master,ART00300,create,,,,mpatel,2023-10-16
CHG0000301,article_master,ART00301,create,,,,rkhan,2023-02-14
CHG0000302,article_master,ART00302,create,,,,rkhan,2024-06-16
CHG0000303,article_master,ART00303,create,,,,jchen,2026-01-04
CHG0000304,article_master,ART00304,create,,,,rkhan,2025-11-17
CHG0000305,article_master,ART00305,create,,,,jchen,2022-06-24
CHG0000306,article_master,ART00306,create,,,,swilson,2025-10-19
CHG0000307,article_master,ART00307,create,,,,mpatel,2022-08-05
CHG0000308,article_master,ART00308,create,,,,rkhan,2023-03-29
CHG0000309,article_master,ART00309,create,,,,rkhan,2022-08-03
CHG0000310,article_master,ART00310,create,,,,swilson,2024-09-16
CHG0000311,article_master,ART00311,create,,,,rkhan,2022-02-16
CHG0000312,article_master,ART00312,create,,,,mpatel,2024-08-04
CHG0000313,article_master,ART00313,create,,,,swilson,2025-04-27
CHG0000314,article_master,ART00314,create,,,,mpatel,2022-07-28
CHG0000315,article_master,ART00315,create,,,,rkhan,2025-05-07
CHG0000316,article_master,ART00316,create,,,,jchen,2025-12-16
CHG0000317,article_master,ART00317,create,,,,rkhan,2022-10-17
CHG0000318,article_master,ART00318,create,,,,mpatel,2025-08-14
CHG0000319,article_master,ART00319,create,,,,jchen,2024-01-06
CHG0000320,article_master,ART00320,create,,,,jchen,2024-05-01
CHG0000321,article_master,ART00321,create,,,,swilson,2023-04-06
CHG0000322,article_master,ART00322,create,,,,mpatel,2022-08-20
CHG0000323,article_master,ART00323,create,,,,mpatel,2024-06-22
CHG0000324,article_master,ART00324,create,,,,mpatel,2025-08-31
CHG0000325,article_master,ART00325,create,,,,jchen,2026-05-08
CHG0000326,article_master,ART00326,create,,,,jchen,2025-06-15
CHG0000327,article_master,ART00327,create,,,,mpatel,2025-12-12
CHG0000328,article_master,ART00328,create,,,,mpatel,2025-10-23
CHG0000329,article_master,ART00329,create,,,,swilson,2022-09-29
CHG0000330,article_master,ART00330,create,,,,rkhan,2025-07-09
CHG0000331,article_master,ART00331,create,,,,rkhan,2024-01-26
CHG0000332,article_master,ART00332,create,,,,swilson,2022-05-10
CHG0000333,article_master,ART00333,create,,,,rkhan,2023-11-23
CHG0000334,article_master,ART00334,create,,,,swilson,2022-07-23
CHG0000335,article_master,ART00335,create,,,,jchen,2025-11-11
CHG0000336,article_master,ART00336,create,,,,mpatel,2022-04-17
CHG0000337,article_master,ART00337,create,,,,mpatel,2025-04-30
CHG0000338,article_master,ART00338,create,,,,jchen,2024-09-05
CHG0000339,article_master,ART00339,create,,,,jchen,2026-03-23
CHG0000340,article_master,ART00340,create,,,,swilson,2022-11-07
CHG0000341,article_master,ART00341,create,,,,jchen,2026-02-04
CHG0000342,article_master,ART00342,create,,,,rkhan,2025-05-15
CHG0000343,article_master,ART00343,create,,,,mpatel,2022-02-24
CHG0000344,article_master,ART00344,create,,,,swilson,2023-01-22
CHG0000345,article_master,ART00345,create,,,,swilson,2024-10-20
CHG0000346,article_master,ART00346,create,,,,mpatel,2025-03-10
CHG0000347,article_master,ART00347,create,,,,mpatel,2026-04-27
CHG0000348,article_master,ART00348,create,,,,rkhan,2024-03-26
CHG0000349,article_master,ART00349,create,,,,rkhan,2025-06-15
CHG0000350,article_master,ART00350,create,,,,mpatel,2025-01-03
CHG0000351,article_master,ART00351,create,,,,jchen,2025-08-10
CHG0000352,article_master,ART00352,create,,,,swilson,2023-05-04
CHG0000353,article_master,ART00353,create,,,,swilson,2022-12-26
CHG0000354,article_master,ART00354,create,,,,mpatel,2026-01-16
CHG0000355,article_master,ART00355,create,,,,jchen,2023-07-12
CHG0000356,article_master,ART00356,create,,,,jchen,2024-10-20
CHG0000357,article_master,ART00357,create,,,,mpatel,2022-01-26
CHG0000358,article_master,ART00358,create,,,,swilson,2025-02-06
CHG0000359,article_master,ART00359,create,,,,jchen,2022-09-02
CHG0000360,article_master,ART00360,create,,,,mpatel,2024-08-10
CHG0000361,article_master,ART00361,create,,,,jchen,2026-02-23
CHG0000362,article_master,ART00362,create,,,,swilson,2023-05-18
CHG0000363,article_master,ART00363,create,,,,rkhan,2022-01-20
CHG0000364,article_master,ART00364,create,,,,swilson,2022-10-19
CHG0000365,article_master,ART00365,create,,,,mpatel,2026-03-12
CHG0000366,article_master,ART00366,create,,,,rkhan,2022-09-25
CHG0000367,article_master,ART00367,create,,,,rkhan,2023-07-11
CHG0000368,article_master,ART00368,create,,,,rkhan,2022-12-03
CHG0000369,article_master,ART00369,create,,,,jchen,2026-04-27
CHG0000370,article_master,ART00370,create,,,,mpatel,2025-11-28
CHG0000371,article_master,ART00371,create,,,,rkhan,2024-11-17
CHG0000372,article_master,ART00372,create,,,,swilson,2026-03-13
CHG0000373,article_master,ART00373,create,,,,rkhan,2022-05-07
CHG0000374,article_master,ART00374,create,,,,mpatel,2025-07-14
CHG0000375,article_master,ART00375,create,,,,swilson,2022-09-21
CHG0000376,article_master,ART00376,create,,,,jchen,2024-03-19
CHG0000377,article_master,ART00377,create,,,,swilson,2024-07-02
CHG0000378,article_master,ART00378,create,,,,swilson,2023-07-27
CHG0000379,article_master,ART00379,create,,,,mpatel,2026-05-21
CHG0000380,article_master,ART00380,create,,,,mpatel,2025-05-07
CHG0000381,article_master,ART00381,create,,,,mpatel,2023-04-22
CHG0000382,article_master,ART00382,create,,,,mpatel,2026-04-14
CHG0000383,article_master,ART00383,create,,,,mpatel,2025-04-26
CHG0000384,article_master,ART00384,create,,,,swilson,2025-01-15
CHG0000385,article_master,ART00385,create,,,,mpatel,2025-06-11
CHG0000386,article_master,ART00386,create,,,,swilson,2024-12-13
CHG0000387,article_master,ART00387,create,,,,swilson,2022-11-19
CHG0000388,article_master,ART00388,create,,,,mpatel,2025-09-25
CHG0000389,article_master,ART00389,create,,,,rkhan,2025-03-19
CHG0000390,article_master,ART00390,create,,,,mpatel,2025-03-04
CHG0000391,article_master,ART00391,create,,,,swilson,2023-05-03
CHG0000392,article_master,ART00392,create,,,,rkhan,2022-07-01
CHG0000393,article_master,ART00393,create,,,,swilson,2022-01-24
CHG0000394,article_master,ART00394,create,,,,rkhan,2024-05-09
CHG0000395,article_master,ART00395,create,,,,rkhan,2025-08-26
CHG0000396,article_master,ART00396,create,,,,swilson,2022-08-03
CHG0000397,article_master,ART00397,create,,,,mpatel,2022-06-03
CHG0000398,article_master,ART00398,create,,,,mpatel,2025-08-31
CHG0000399,article_master,ART00399,create,,,,swilson,2026-01-18
CHG0000400,article_master,ART00400,create,,,,mpatel,2022-04-22
CHG0000401,article_master,ART00401,create,,,,jchen,2022-02-22
CHG0000402,article_master,ART00402,create,,,,rkhan,2025-09-15
CHG0000403,article_master,ART00403,create,,,,jchen,2023-06-24
CHG0000404,article_master,ART00404,create,,,,rkhan,2022-06-25
CHG0000405,article_master,ART00405,create,,,,swilson,2025-01-01
CHG0000406,article_master,ART00406,create,,,,jchen,2024-11-24
CHG0000407,article_master,ART00407,create,,,,rkhan,2024-05-17
CHG0000408,article_master,ART00408,create,,,,swilson,2022-06-28
CHG0000409,article_master,ART00409,create,,,,jchen,2025-06-30
CHG0000410,article_master,ART00410,create,,,,mpatel,2022-07-25
CHG0000411,article_master,ART00411,create,,,,mpatel,2024-02-24
CHG0000412,article_master,ART00412,create,,,,jchen,2025-11-21
CHG0000413,article_master,ART00413,create,,,,swilson,2023-05-02
CHG0000414,article_master,ART00414,create,,,,swilson,2022-02-11
CHG0000415,article_master,ART00415,create,,,,jchen,2022-10-03
CHG0000416,article_master,ART00416,create,,,,mpatel,2024-04-13
CHG0000417,article_master,ART00417,create,,,,swilson,2024-04-06
CHG0000418,article_master,ART00418,create,,,,swilson,2022-03-09
CHG0000419,article_master,ART00419,create,,,,rkhan,2024-01-25
CHG0000420,article_master,ART00420,create,,,,mpatel,2025-10-27
CHG0000421,article_master,ART00421,create,,,,jchen,2024-08-29
CHG0000422,article_master,ART00422,create,,,,rkhan,2022-04-12
CHG0000423,article_master,ART00423,create,,,,swilson,2024-11-17
CHG0000424,article_master,ART00424,create,,,,jchen,2023-09-18
CHG0000425,article_master,ART00425,create,,,,jchen,2024-02-11
CHG0000426,article_master,ART00426,create,,,,rkhan,2024-12-02
CHG0000427,article_master,ART00427,create,,,,mpatel,2025-02-23
