store_group,article_id,valid_from,valid_to
SG_METRO_36,ART00002,2024-06-26,2099-12-31
SG_REGIONAL_09,ART00002,2025-01-21,2099-12-31
SG_CBD_07,ART00002,2026-04-07,2099-12-31
SG_HWY_06,ART00002,2024-05-26,2099-12-31
SG_HWY_10,ART00002,2024-04-22,2099-12-31
SG_HWY_30,ART00002,2024-06-08,2099-12-31
SG_METRO_24,ART00002,2024-09-07,2099-12-31
SG_HWY_22,ART00002,2023-07-08,2099-12-31
SG_METRO_32,ART00002,2026-03-14,2099-12-31
SG_REGIONAL_17,ART00002,2025-03-29,2099-12-31
SG_METRO_16,ART00002,2026-03-11,2099-12-31
SG_REGIONAL_21,ART00002,2024-03-21,2099-12-31
SG_METRO_04,ART00003,2023-11-10,2099-12-31
SG_METRO_20,ART00003,2023-04-14,2099-12-31
SG_HWY_30,ART00003,2025-03-15,2099-12-31
SG_CBD_11,ART00003,2025-07-01,2099-12-31
SG_CBD_31,ART00003,2026-03-24,2099-12-31
SG_HWY_06,ART00003,2025-10-30,2099-12-31
SG_CBD_19,ART00003,2023-07-04,2099-12-31
SG_HWY_02,ART00003,2024-03-30,2099-12-31
SG_METRO_24,ART00003,2025-06-03,2099-12-31
SG_METRO_32,ART00003,2024-08-16,2099-12-31
SG_CBD_35,ART00003,2025-03-18,2099-12-31
SG_REGIONAL_01,ART00003,2023-10-31,2099-12-31
SG_REGIONAL_29,ART00003,2023-09-28,2099-12-31
SG_HWY_10,ART00003,2024-11-19,2099-12-31
SG_METRO_36,ART00003,2023-06-19,2099-12-31
SG_REGIONAL_13,ART00003,2025-09-01,2099-12-31
SG_CBD_27,ART00003,2026-03-16,2099-12-31
SG_CBD_03,ART00003,2023-04-11,2099-12-31
SG_CBD_07,ART00003,2026-01-27,2099-12-31
SG_HWY_38,ART00003,2025-03-28,2099-12-31
SG_REGIONAL_33,ART00003,2024-06-21,2099-12-31
SG_METRO_00,ART00003,2023-06-24,2099-12-31
SG_METRO_12,ART00003,2025-03-27,2099-12-31
SG_METRO_28,ART00003,2025-10-24,2099-12-31
SG_REGIONAL_09,ART00003,2025-06-08,2099-12-31
SG_METRO_08,ART00003,2023-09-25,2099-12-31
SG_HWY_18,ART00003,2023-10-04,2099-12-31
SG_REGIONAL_05,ART00003,2025-09-11,2099-12-31
SG_HWY_14,ART00003,2026-02-19,2099-12-31
SG_CBD_15,ART00003,2024-02-10,2099-12-31
SG_REGIONAL_37,ART00003,2025-09-26,2099-12-31
SG_REGIONAL_17,ART00003,2025-03-20,2099-12-31
SG_HWY_22,ART00003,2026-03-16,2099-12-31
SG_CBD_35,ART00004,2024-10-18,2099-12-31
SG_REGIONAL_33,ART00004,2024-12-06,2099-12-31
SG_CBD_15,ART00004,2026-05-01,2099-12-31
SG_REGIONAL_37,ART00004,2023-02-19,2099-12-31
SG_METRO_04,ART00004,2024-09-16,2099-12-31
SG_REGIONAL_17,ART00004,2023-12-13,2099-12-31
SG_CBD_27,ART00004,2024-12-17,2099-12-31
SG_METRO_20,ART00004,2025-06-24,2099-12-31
SG_REGIONAL_05,ART00004,2023-10-26,2099-12-31
SG_CBD_03,ART00004,2025-06-21,2099-12-31
SG_REGIONAL_21,ART00004,2023-04-02,2099-12-31
SG_REGIONAL_13,ART00004,2024-04-23,2099-12-31
SG_METRO_28,ART00004,2024-02-13,2099-12-31
SG_CBD_11,ART00004,2025-02-04,2099-12-31
SG_HWY_26,ART00004,2023-11-16,2099-12-31
SG_HWY_06,ART00004,2023-06-25,2099-12-31
SG_CBD_03,ART00005,2026-01-06,2099-12-31
SG_CBD_15,ART00005,2024-03-09,2099-12-31
SG_REGIONAL_09,ART00005,2024-02-22,2099-12-31
SG_HWY_18,ART00005,2026-01-24,2099-12-31
SG_METRO_00,ART00005,2025-12-07,2099-12-31
SG_REGIONAL_21,ART00005,2024-06-13,2099-12-31
SG_CBD_07,ART00005,2026-01-28,2099-12-31
SG_CBD_19,ART00005,2025-09-16,2099-12-31
SG_METRO_28,ART00005,2023-10-17,2099-12-31
SG_HWY_38,ART00005,2023-02-07,2099-12-31
SG_CBD_35,ART00005,2025-02-10,2099-12-31
SG_HWY_10,ART00005,2026-04-08,2099-12-31
SG_HWY_06,ART00005,2025-12-14,2099-12-31
SG_METRO_16,ART00006,2024-07-09,2099-12-31
SG_HWY_10,ART00006,2025-01-07,2099-12-31
SG_CBD_03,ART00006,2023-08-09,2099-12-31
SG_HWY_18,ART00006,2023-02-09,2099-12-31
SG_METRO_12,ART00006,2024-08-22,2099-12-31
SG_REGIONAL_17,ART00006,2025-03-02,2099-12-31
SG_REGIONAL_37,ART00006,2024-04-18,2099-12-31
SG_REGIONAL_29,ART00006,2025-02-18,2099-12-31
SG_METRO_00,ART00006,2025-11-07,2099-12-31
SG_HWY_02,ART00006,2023-07-23,2099-12-31
SG_CBD_35,ART00006,2024-10-08,2099-12-31
SG_HWY_38,ART00008,2023-05-07,2099-12-31
SG_HWY_34,ART00008,2024-06-11,2099-12-31
SG_REGIONAL_05,ART00008,2025-03-03,2099-12-31
SG_CBD_11,ART00008,2023-03-02,2099-12-31
SG_METRO_12,ART00008,2026-02-10,2099-12-31
SG_METRO_32,ART00008,2024-07-27,2099-12-31
SG_REGIONAL_29,ART00008,2024-04-06,2099-12-31
SG_REGIONAL_01,ART00008,2023-11-07,2099-12-31
SG_HWY_02,ART00008,2024-11-30,2099-12-31
SG_CBD_07,ART00008,2025-03-15,2099-12-31
SG_REGIONAL_33,ART00008,2023-10-09,2099-12-31
SG_METRO_16,ART00008,2023-06-29,2099-12-31
SG_REGIONAL_09,ART00008,2025-02-21,2099-12-31
SG_HWY_10,ART00008,2025-12-02,2099-12-31
SG_CBD_15,ART00008,2024-04-10,2099-12-31
SG_CBD_35,ART00008,2025-05-04,2099-12-31
SG_CBD_23,ART00008,2024-05-07,2099-12-31
SG_REGIONAL_37,ART00008,2026-03-19,2099-12-31
SG_METRO_00,ART00008,2023-11-09,2099-12-31
SG_METRO_36,ART00008,2025-05-23,2099-12-31
SG_METRO_20,ART00008,2024-10-01,2099-12-31
SG_CBD_19,ART00008,2024-11-05,2099-12-31
SG_CBD_27,ART00008,2025-07-08,2099-12-31
SG_HWY_30,ART00008,2026-01-15,2099-12-31
SG_METRO_08,ART00008,2023-09-27,2099-12-31
SG_METRO_08,ART00009,2023-05-19,2099-12-31
SG_REGIONAL_37,ART00009,2026-02-15,2099-12-31
SG_HWY_34,ART00009,2025-12-27,2099-12-31
SG_METRO_12,ART00009,2023-08-31,2099-12-31
SG_CBD_39,ART00009,2024-01-13,2099-12-31
SG_CBD_19,ART00009,2024-10-12,2099-12-31
SG_REGIONAL_33,ART00009,2023-10-26,2099-12-31
SG_CBD_35,ART00009,2023-03-02,2099-12-31
SG_CBD_27,ART00009,2024-10-14,2099-12-31
SG_REGIONAL_29,ART00009,2025-04-27,2099-12-31
SG_METRO_24,ART00009,2025-04-22,2099-12-31
SG_METRO_04,ART00009,2024-09-13,2099-12-31
SG_METRO_20,ART00009,2025-06-26,2099-12-31
SG_HWY_18,ART00009,2024-07-14,2099-12-31
SG_REGIONAL_05,ART00009,2023-11-08,2099-12-31
SG_HWY_10,ART00009,2024-01-20,2099-12-31
SG_METRO_08,ART00010,2023-10-02,2099-12-31
SG_CBD_11,ART00010,2025-10-25,2099-12-31
SG_REGIONAL_01,ART00010,2025-08-18,2099-12-31
SG_REGIONAL_17,ART00010,2025-02-04,2099-12-31
SG_HWY_14,ART00010,2024-01-12,2099-12-31
SG_CBD_35,ART00010,2025-03-04,2099-12-31
SG_HWY_34,ART00010,2025-10-03,2099-12-31
SG_REGIONAL_37,ART00010,2025-08-28,2099-12-31
SG_HWY_22,ART00010,2023-10-09,2099-12-31
SG_HWY_02,ART00010,2023-12-02,2099-12-31
SG_CBD_31,ART00010,2024-01-31,2099-12-31
SG_METRO_24,ART00010,2024-04-08,2099-12-31
SG_CBD_15,ART00010,2023-03-08,2099-12-31
SG_METRO_00,ART00011,2026-03-17,2099-12-31
SG_REGIONAL_17,ART00011,2026-05-01,2099-12-31
SG_HWY_26,ART00011,2026-01-03,2099-12-31
SG_HWY_14,ART00011,2025-12-11,2099-12-31
SG_METRO_12,ART00011,2023-03-20,2099-12-31
SG_REGIONAL_13,ART00011,2025-12-02,2099-12-31
SG_METRO_04,ART00011,2023-08-12,2099-12-31
SG_CBD_11,ART00011,2025-07-13,2099-12-31
SG_METRO_28,ART00011,2025-07-24,2099-12-31
SG_CBD_27,ART00011,2023-03-28,2099-12-31
SG_CBD_19,ART00011,2024-05-18,2099-12-31
SG_CBD_15,ART00011,2025-11-28,2099-12-31
SG_HWY_22,ART00011,2026-01-06,2099-12-31
SG_HWY_10,ART00011,2025-03-21,2099-12-31
SG_METRO_36,ART00011,2023-03-22,2099-12-31
SG_CBD_07,ART00011,2026-02-16,2099-12-31
SG_HWY_34,ART00011,2025-03-04,2099-12-31
SG_CBD_35,ART00011,2025-11-23,2099-12-31
SG_REGIONAL_01,ART00011,2023-04-11,2099-12-31
SG_REGIONAL_29,ART00011,2024-01-24,2099-12-31
SG_HWY_30,ART00011,2024-08-19,2099-12-31
SG_REGIONAL_37,ART00011,2025-06-19,2099-12-31
SG_METRO_20,ART00011,2025-03-26,2099-12-31
SG_CBD_19,ART00012,2023-08-22,2099-12-31
SG_HWY_18,ART00012,2025-07-09,2099-12-31
SG_REGIONAL_29,ART00012,2025-01-13,2099-12-31
SG_HWY_10,ART00012,2023-06-24,2099-12-31
SG_CBD_27,ART00012,2025-12-08,2099-12-31
SG_HWY_38,ART00012,2025-02-25,2099-12-31
SG_CBD_03,ART00012,2025-11-13,2099-12-31
SG_REGIONAL_09,ART00012,2023-11-24,2099-12-31
SG_REGIONAL_37,ART00012,2025-02-14,2099-12-31
SG_HWY_26,ART00012,2026-02-01,2099-12-31
SG_METRO_20,ART00012,2025-02-18,2099-12-31
SG_HWY_14,ART00012,2023-03-31,2099-12-31
SG_HWY_02,ART00012,2023-12-16,2099-12-31
SG_CBD_23,ART00012,2024-11-17,2099-12-31
SG_METRO_16,ART00012,2026-03-04,2099-12-31
SG_REGIONAL_33,ART00012,2023-11-04,2099-12-31
SG_REGIONAL_05,ART00012,2023-11-29,2099-12-31
SG_HWY_34,ART00012,2023-10-24,2099-12-31
SG_REGIONAL_17,ART00012,2024-01-02,2099-12-31
SG_METRO_04,ART00012,2023-04-16,2099-12-31
SG_METRO_12,ART00012,2025-05-09,2099-12-31
SG_REGIONAL_13,ART00012,2024-09-22,2099-12-31
SG_METRO_36,ART00012,2024-09-25,2099-12-31
SG_METRO_28,ART00012,2025-07-02,2099-12-31
SG_METRO_00,ART00012,2024-08-14,2099-12-31
SG_CBD_35,ART00012,2024-01-06,2099-12-31
SG_CBD_07,ART00012,2023-08-29,2099-12-31
SG_METRO_32,ART00012,2023-09-27,2099-12-31
SG_CBD_11,ART00012,2024-02-20,2099-12-31
SG_METRO_24,ART00012,2023-01-08,2099-12-31
SG_HWY_22,ART00012,2024-06-02,2099-12-31
SG_REGIONAL_01,ART00012,2023-01-26,2099-12-31
SG_CBD_31,ART00012,2025-07-28,2099-12-31
SG_REGIONAL_25,ART00012,2025-10-16,2099-12-31
SG_HWY_30,ART00012,2025-10-18,2099-12-31
SG_METRO_08,ART00012,2026-01-18,2099-12-31
SG_CBD_15,ART00012,2023-01-12,2099-12-31
SG_REGIONAL_21,ART00012,2025-10-07,2099-12-31
SG_REGIONAL_13,ART00013,2024-01-14,2099-12-31
SG_REGIONAL_37,ART00013,2023-10-31,2099-12-31
SG_HWY_30,ART00013,2023-04-23,2099-12-31
SG_REGIONAL_29,ART00013,2024-12-15,2099-12-31
SG_HWY_26,ART00013,2023-03-17,2099-12-31
SG_METRO_28,ART00013,2023-10-25,2099-12-31
SG_REGIONAL_05,ART00013,2023-03-08,2099-12-31
SG_METRO_00,ART00013,2026-03-29,2099-12-31
SG_CBD_15,ART00013,2024-09-03,2099-12-31
SG_HWY_34,ART00013,2024-11-09,2099-12-31
SG_REGIONAL_17,ART00013,2023-06-29,2099-12-31
SG_METRO_08,ART00013,2023-04-11,2099-12-31
SG_CBD_19,ART00013,2023-08-12,2099-12-31
SG_METRO_20,ART00013,2025-05-03,2099-12-31
SG_METRO_36,ART00013,2024-01-01,2099-12-31
SG_HWY_06,ART00013,2023-11-27,2099-12-31
SG_REGIONAL_01,ART00013,2024-08-05,2099-12-31
SG_HWY_38,ART00014,2024-03-04,2099-12-31
SG_METRO_36,ART00014,2023-04-30,2099-12-31
SG_CBD_35,ART00014,2023-08-12,2099-12-31
SG_CBD_11,ART00014,2026-03-16,2099-12-31
SG_REGIONAL_29,ART00014,2025-12-19,2099-12-31
SG_CBD_23,ART00014,2023-06-29,2099-12-31
SG_HWY_02,ART00014,2025-09-17,2099-12-31
SG_REGIONAL_05,ART00014,2024-08-11,2099-12-31
SG_CBD_19,ART00014,2025-05-24,2099-12-31
SG_HWY_10,ART00014,2024-10-10,2099-12-31
SG_CBD_39,ART00014,2024-06-15,2099-12-31
SG_METRO_28,ART00014,2025-12-12,2099-12-31
SG_METRO_12,ART00014,2026-03-23,2099-12-31
SG_HWY_26,ART00014,2024-12-25,2099-12-31
SG_REGIONAL_33,ART00014,2023-09-23,2099-12-31
SG_METRO_24,ART00014,2026-02-26,2099-12-31
SG_REGIONAL_13,ART00014,2025-10-13,2099-12-31
SG_REGIONAL_17,ART00014,2025-11-30,2099-12-31
SG_REGIONAL_25,ART00014,2025-10-16,2099-12-31
SG_REGIONAL_09,ART00014,2025-10-05,2099-12-31
SG_CBD_15,ART00014,2024-01-04,2099-12-31
SG_METRO_04,ART00014,2024-04-21,2099-12-31
SG_CBD_03,ART00014,2024-08-17,2099-12-31
SG_METRO_08,ART00014,2024-02-01,2099-12-31
SG_HWY_30,ART00014,2023-01-04,2099-12-31
SG_METRO_16,ART00014,2023-08-31,2099-12-31
SG_HWY_06,ART00014,2023-02-19,2099-12-31
SG_HWY_14,ART00014,2025-08-10,2099-12-31
SG_HWY_22,ART00014,2023-08-30,2099-12-31
SG_REGIONAL_13,ART00015,2023-10-06,2099-12-31
SG_HWY_26,ART00015,2025-09-13,2099-12-31
SG_HWY_38,ART00015,2023-11-15,2099-12-31
SG_HWY_02,ART00015,2025-08-01,2099-12-31
SG_REGIONAL_21,ART00015,2026-01-04,2099-12-31
SG_HWY_22,ART00015,2024-11-17,2099-12-31
SG_CBD_39,ART00015,2025-08-05,2099-12-31
SG_METRO_00,ART00015,2025-04-27,2099-12-31
SG_METRO_12,ART00015,2023-04-25,2099-12-31
SG_HWY_34,ART00015,2025-12-03,2099-12-31
SG_REGIONAL_09,ART00015,2024-09-05,2099-12-31
SG_METRO_08,ART00015,2026-03-03,2099-12-31
SG_REGIONAL_25,ART00015,2024-10-08,2099-12-31
SG_METRO_36,ART00015,2026-02-11,2099-12-31
SG_REGIONAL_29,ART00015,2026-01-02,2099-12-31
SG_CBD_27,ART00015,2023-02-08,2099-12-31
SG_METRO_16,ART00015,2024-03-02,2099-12-31
SG_REGIONAL_17,ART00015,2026-03-28,2099-12-31
SG_HWY_10,ART00015,2024-11-10,2099-12-31
SG_METRO_32,ART00015,2024-12-25,2099-12-31
SG_CBD_03,ART00015,2023-05-16,2099-12-31
SG_CBD_35,ART00015,2023-11-02,2099-12-31
SG_HWY_18,ART00015,2024-07-28,2099-12-31
SG_CBD_31,ART00015,2023-03-05,2099-12-31
SG_METRO_20,ART00015,2024-11-25,2099-12-31
SG_REGIONAL_33,ART00015,2025-02-07,2099-12-31
SG_REGIONAL_37,ART00015,2025-12-30,2099-12-31
SG_CBD_19,ART00015,2023-12-06,2099-12-31
SG_REGIONAL_05,ART00015,2026-03-15,2099-12-31
SG_CBD_11,ART00015,2025-03-08,2099-12-31
SG_CBD_07,ART00015,2024-01-19,2099-12-31
SG_METRO_24,ART00015,2023-08-28,2099-12-31
SG_CBD_15,ART00015,2024-09-23,2099-12-31
SG_METRO_20,ART00016,2023-10-21,2099-12-31
SG_HWY_02,ART00016,2023-07-21,2099-12-31
SG_REGIONAL_17,ART00016,2025-11-23,2099-12-31
SG_HWY_26,ART00016,2023-09-29,2099-12-31
SG_REGIONAL_05,ART00016,2024-02-25,2099-12-31
SG_CBD_31,ART00016,2023-03-16,2099-12-31
SG_CBD_15,ART00016,2025-07-29,2099-12-31
SG_CBD_23,ART00016,2025-03-04,2099-12-31
SG_METRO_28,ART00016,2025-12-05,2099-12-31
SG_METRO_36,ART00016,2023-08-26,2099-12-31
SG_REGIONAL_09,ART00016,2023-01-09,2099-12-31
SG_HWY_06,ART00016,2024-09-28,2099-12-31
SG_METRO_16,ART00016,2023-04-01,2099-12-31
SG_REGIONAL_29,ART00016,2026-05-02,2099-12-31
SG_CBD_35,ART00016,2023-06-28,2099-12-31
SG_CBD_03,ART00016,2024-11-13,2099-12-31
SG_CBD_11,ART00016,2025-08-14,2099-12-31
SG_REGIONAL_01,ART00016,2023-04-05,2099-12-31
SG_HWY_34,ART00016,2023-07-31,2099-12-31
SG_HWY_38,ART00016,2025-12-02,2099-12-31
SG_HWY_14,ART00016,2024-10-01,2099-12-31
SG_CBD_27,ART00016,2023-02-16,2099-12-31
SG_METRO_00,ART00016,2026-03-28,2099-12-31
SG_REGIONAL_33,ART00016,2024-10-01,2099-12-31
SG_METRO_04,ART00016,2024-03-05,2099-12-31
SG_METRO_24,ART00016,2024-10-19,2099-12-31
SG_REGIONAL_25,ART00016,2024-02-15,2099-12-31
SG_CBD_07,ART00016,2024-01-30,2099-12-31
SG_METRO_32,ART00016,2024-08-09,2099-12-31
SG_METRO_08,ART00016,2024-07-20,2099-12-31
SG_HWY_18,ART00016,2025-12-26,2099-12-31
SG_REGIONAL_13,ART00016,2024-10-15,2099-12-31
SG_METRO_28,ART00017,2023-06-26,2099-12-31
SG_CBD_07,ART00017,2025-05-23,2099-12-31
SG_REGIONAL_17,ART00017,2025-03-13,2099-12-31
SG_REGIONAL_09,ART00017,2024-01-02,2099-12-31
SG_HWY_10,ART00017,2026-04-28,2099-12-31
SG_REGIONAL_37,ART00017,2025-07-02,2099-12-31
SG_HWY_38,ART00017,2024-12-29,2099-12-31
SG_METRO_00,ART00017,2024-10-01,2099-12-31
SG_HWY_06,ART00017,2024-11-11,2099-12-31
SG_CBD_31,ART00017,2024-02-10,2099-12-31
SG_HWY_34,ART00017,2025-12-28,2099-12-31
SG_CBD_11,ART00017,2023-06-10,2099-12-31
SG_REGIONAL_29,ART00017,2025-08-11,2099-12-31
SG_CBD_35,ART00017,2026-03-08,2099-12-31
SG_METRO_08,ART00017,2023-09-27,2099-12-31
SG_METRO_04,ART00017,2023-07-10,2099-12-31
SG_HWY_22,ART00017,2025-08-17,2099-12-31
SG_METRO_36,ART00017,2023-07-19,2099-12-31
SG_HWY_18,ART00017,2025-07-22,2099-12-31
SG_REGIONAL_33,ART00017,2024-09-27,2099-12-31
SG_REGIONAL_05,ART00017,2025-08-11,2099-12-31
SG_HWY_02,ART00017,2025-08-21,2099-12-31
SG_CBD_23,ART00017,2024-04-19,2099-12-31
SG_HWY_26,ART00017,2024-04-03,2099-12-31
SG_HWY_14,ART00017,2023-10-22,2099-12-31
SG_METRO_32,ART00017,2024-06-12,2099-12-31
SG_REGIONAL_21,ART00017,2025-01-14,2099-12-31
SG_CBD_15,ART00017,2025-03-13,2099-12-31
SG_METRO_20,ART00017,2024-01-11,2099-12-31
SG_METRO_16,ART00017,2024-11-07,2099-12-31
SG_METRO_12,ART00017,2024-10-27,2099-12-31
SG_REGIONAL_01,ART00017,2025-07-17,2099-12-31
SG_HWY_30,ART00017,2025-09-25,2099-12-31
SG_CBD_27,ART00017,2023-03-03,2099-12-31
SG_HWY_30,ART00018,2023-08-08,2099-12-31
SG_CBD_07,ART00018,2024-10-29,2099-12-31
SG_HWY_22,ART00018,2026-02-12,2099-12-31
SG_CBD_39,ART00018,2023-05-26,2099-12-31
SG_REGIONAL_29,ART00018,2024-09-10,2099-12-31
SG_HWY_10,ART00018,2025-12-27,2099-12-31
SG_HWY_18,ART00018,2025-08-02,2099-12-31
SG_REGIONAL_37,ART00018,2025-03-31,2099-12-31
SG_METRO_08,ART00018,2026-04-24,2099-12-31
SG_METRO_16,ART00018,2025-04-26,2099-12-31
SG_CBD_03,ART00018,2024-05-03,2099-12-31
SG_METRO_12,ART00018,2024-05-14,2099-12-31
SG_HWY_10,ART00019,2023-12-27,2099-12-31
SG_HWY_30,ART00019,2024-09-22,2099-12-31
SG_METRO_24,ART00019,2025-04-11,2099-12-31
SG_METRO_04,ART00019,2023-05-23,2099-12-31
SG_REGIONAL_21,ART00019,2023-08-11,2099-12-31
SG_REGIONAL_13,ART00019,2025-02-15,2099-12-31
SG_CBD_27,ART00019,2024-11-01,2099-12-31
SG_REGIONAL_33,ART00019,2025-10-09,2099-12-31
SG_CBD_35,ART00019,2023-05-06,2099-12-31
SG_REGIONAL_17,ART00019,2023-07-05,2099-12-31
SG_HWY_22,ART00019,2024-03-21,2099-12-31
SG_CBD_07,ART00019,2023-10-12,2099-12-31
SG_REGIONAL_05,ART00019,2026-04-04,2099-12-31
SG_CBD_31,ART00019,2023-01-01,2099-12-31
SG_HWY_26,ART00019,2023-10-28,2099-12-31
SG_HWY_02,ART00019,2023-11-02,2099-12-31
SG_CBD_23,ART00019,2025-07-16,2099-12-31
SG_REGIONAL_29,ART00019,2025-12-24,2099-12-31
SG_HWY_18,ART00019,2024-08-19,2099-12-31
SG_CBD_15,ART00019,2025-03-09,2099-12-31
SG_CBD_03,ART00019,2026-03-29,2099-12-31
SG_REGIONAL_25,ART00019,2025-07-04,2099-12-31
SG_HWY_14,ART00019,2024-02-05,2099-12-31
SG_CBD_39,ART00019,2024-02-26,2099-12-31
SG_CBD_19,ART00019,2024-10-10,2099-12-31
SG_HWY_34,ART00019,2024-09-05,2099-12-31
SG_METRO_28,ART00019,2026-03-13,2099-12-31
SG_CBD_19,ART00020,2024-01-21,2099-12-31
SG_CBD_27,ART00020,2026-02-11,2099-12-31
SG_HWY_22,ART00020,2025-02-26,2099-12-31
SG_REGIONAL_05,ART00020,2025-01-07,2099-12-31
SG_METRO_00,ART00020,2025-05-04,2099-12-31
SG_METRO_32,ART00020,2023-11-12,2099-12-31
SG_REGIONAL_25,ART00020,2024-08-13,2099-12-31
SG_METRO_08,ART00020,2023-09-15,2099-12-31
SG_HWY_18,ART00020,2023-10-03,2099-12-31
SG_REGIONAL_01,ART00020,2023-01-24,2099-12-31
SG_CBD_11,ART00020,2023-05-27,2099-12-31
SG_METRO_28,ART00020,2023-02-02,2099-12-31
SG_REGIONAL_17,ART00020,2023-10-22,2099-12-31
SG_HWY_30,ART00020,2025-09-23,2099-12-31
SG_CBD_35,ART00020,2025-06-13,2099-12-31
SG_REGIONAL_37,ART00020,2023-10-06,2099-12-31
SG_HWY_38,ART00020,2023-06-23,2099-12-31
SG_REGIONAL_29,ART00020,2023-10-09,2099-12-31
SG_CBD_03,ART00020,2025-05-01,2099-12-31
SG_REGIONAL_09,ART00020,2025-07-22,2099-12-31
SG_REGIONAL_33,ART00020,2025-05-21,2099-12-31
SG_CBD_07,ART00020,2024-01-04,2099-12-31
SG_REGIONAL_13,ART00020,2025-07-19,2099-12-31
SG_METRO_12,ART00020,2025-11-09,2099-12-31
SG_HWY_10,ART00020,2025-05-18,2099-12-31
SG_METRO_24,ART00020,2026-02-04,2099-12-31
SG_HWY_06,ART00020,2025-07-10,2099-12-31
SG_CBD_23,ART00020,2025-02-26,2099-12-31
SG_METRO_16,ART00020,2024-12-28,2099-12-31
SG_HWY_14,ART00020,2024-04-07,2099-12-31
SG_HWY_34,ART00020,2024-01-16,2099-12-31
SG_REGIONAL_21,ART00020,2025-05-19,2099-12-31
SG_HWY_02,ART00020,2023-01-16,2099-12-31
SG_METRO_20,ART00020,2026-03-29,2099-12-31
SG_HWY_26,ART00020,2025-10-17,2099-12-31
SG_CBD_15,ART00021,2025-08-18,2099-12-31
SG_METRO_32,ART00021,2025-07-18,2099-12-31
SG_REGIONAL_17,ART00021,2025-11-15,2099-12-31
SG_HWY_26,ART00021,2025-08-18,2099-12-31
SG_HWY_34,ART00021,2026-03-21,2099-12-31
SG_CBD_23,ART00021,2024-11-09,2099-12-31
SG_HWY_02,ART00021,2025-05-12,2099-12-31
SG_REGIONAL_33,ART00021,2024-12-23,2099-12-31
SG_HWY_30,ART00021,2024-08-26,2099-12-31
SG_HWY_22,ART00021,2024-08-15,2099-12-31
SG_CBD_11,ART00021,2023-12-10,2099-12-31
SG_CBD_03,ART00021,2023-03-14,2099-12-31
SG_HWY_18,ART00021,2024-09-14,2099-12-31
SG_CBD_39,ART00021,2026-02-28,2099-12-31
SG_CBD_31,ART00021,2024-06-17,2099-12-31
SG_HWY_38,ART00021,2023-05-06,2099-12-31
SG_METRO_04,ART00021,2025-08-27,2099-12-31
